44.11 , 3d:7.39:3.85:-86.23 : 0:0:0 , 0:86.23 , 0:-3.85 , 0:-7.39 , 1:16.19 , 1:-1.58 , 1:-8.15 , 2:-9.36 , 2:-0.31 , 2:-0.31 ,
44.12 , 3d:7.40:3.80:-86.34 : 0:0:0 , 0:86.34 , 0:-3.80 , 0:-7.40 , 1:18.10 , 1:-0.51 , 1:-7.95 , 2:-9.36 , 2:-0.36 , 2:-0.36 ,
44.12 , 3d:7.40:3.77:-86.43 : 0:0:0 , 0:86.43 , 0:-3.77 , 0:-7.40 , 1:19.28 , 1:-0.16 , 1:-8.36 , 2:-9.42 , 2:-0.34 , 2:-0.34 ,
44.13 , 3d:7.41:3.71:-86.56 : 0:0:0 , 0:86.56 , 0:-3.71 , 0:-7.41 , 1:21.73 , 1:-0.33 , 1:-9.83 , 2:-9.49 , 2:-0.20 , 2:-0.20 ,
44.13 , 3d:7.41:3.67:-86.63 : 0:0:0 , 0:86.63 , 0:-3.67 , 0:-7.41 , 1:23.32 , 1:-0.86 , 1:-10.73 , 2:-9.49 , 2:-0.20 , 2:-0.20 ,
44.14 , 3d:7.43:3.60:-86.80 : 0:0:0 , 0:86.80 , 0:-3.60 , 0:-7.43 , 1:27.41 , 1:-3.14 , 1:-13.20 , 2:-9.54 , 2:-0.09 , 2:-0.09 ,
44.15 , 3d:7.54:3.39:-87.27 : 0:0:0 , 0:87.27 , 0:-3.39 , 0:-7.54 , 1:36.13 , 1:-9.84 , 1:-15.46 , 2:-9.69 , 2:-0.03 , 2:-0.03 ,
44.15 , 3d:7.58:3.34:-87.39 : 0:0:0 , 0:87.39 , 0:-3.34 , 0:-7.58 , 1:38.24 , 1:-10.95 , 1:-14.90 , 2:-9.65 , 2:-0.09 , 2:-0.09 ,
44.16 , 3d:7.64:3.28:-87.59 : 0:0:0 , 0:87.59 , 0:-3.28 , 0:-7.64 , 1:41.25 , 1:-12.62 , 1:-13.02 , 2:-9.47 , 2:-0.10 , 2:-0.10 ,
44.16 , 3d:7.70:3.23:-87.80 : 0:0:0 , 0:87.80 , 0:-3.23 , 0:-7.70 , 1:44.74 , 1:-13.55 , 1:-11.42 , 2:-9.49 , 2:-0.15 , 2:-0.15 ,
44.17 , 3d:7.80:3.16:-88.10 : 0:0:0 , 0:88.10 , 0:-3.16 , 0:-7.80 , 1:47.11 , 1:-14.79 , 1:-10.27 , 2:-9.66 , 2:-0.22 , 2:-0.22 ,
44.17 , 3d:7.85:3.13:-88.25 : 0:0:0 , 0:88.25 , 0:-3.13 , 0:-7.85 , 1:47.49 , 1:-15.24 , 1:-10.33 , 2:-9.76 , 2:-0.27 , 2:-0.27 ,
44.18 , 3d:7.90:3.10:-88.40 : 0:0:0 , 0:88.40 , 0:-3.10 , 0:-7.90 , 1:46.79 , 1:-15.43 , 1:-10.65 , 2:-9.82 , 2:-0.22 , 2:-0.22 ,
44.18 , 3d:7.94:3.07:-88.55 : 0:0:0 , 0:88.55 , 0:-3.07 , 0:-7.94 , 1:45.29 , 1:-15.35 , 1:-10.75 , 2:-9.83 , 2:-0.17 , 2:-0.17 ,
44.19 , 3d:8.06:2.98:-88.88 : 0:0:0 , 0:88.88 , 0:-2.98 , 0:-8.06 , 1:39.26 , 1:-13.50 , 1:-11.01 , 2:-9.74 , 2:0.01 , 2:0.01 ,
44.19 , 3d:8.12:2.93:-89.07 : 0:0:0 , 0:89.07 , 0:-2.93 , 0:-8.12 , 1:36.19 , 1:-12.59 , 1:-10.03 , 2:-9.59 , 2:0.10 , 2:0.10 ,
44.19 , 3d:8.16:2.90:-89.18 : 0:0:0 , 0:89.18 , 0:-2.90 , 0:-8.16 , 1:35.09 , 1:-11.78 , 1:-9.11 , 2:-9.56 , 2:0.09 , 2:0.09 ,
44.20 , 3d:8.23:2.86:-89.39 : 0:0:0 , 0:89.39 , 0:-2.86 , 0:-8.23 , 1:31.80 , 1:-10.04 , 1:-6.43 , 2:-9.44 , 2:0.08 , 2:0.08 ,
44.22 , 3d:8.34:2.81:-89.85 : 0:0:0 , 0:89.85 , 0:-2.81 , 0:-8.34 , 1:26.79 , 1:-4.65 , 1:0.22 , 2:-9.33 , 2:-0.08 , 2:-0.08 ,
44.23 , 3d:8.39:2.84:-90.33 : 0:0:0 , 0:90.33 , 0:-2.84 , 0:-8.39 , 1:25.23 , 1:-1.23 , 1:0.63 , 2:-9.64 , 2:-0.20 , 2:-0.20 ,
44.27 , 3d:8.23:2.86:-90.95 : 0:0:0 , 0:90.95 , 0:-2.86 , 0:-8.23 , 1:17.63 , 1:5.57 , 1:0.60 , 2:-9.71 , 2:-0.38 , 2:-0.38 ,
44.28 , 3d:8.20:2.86:-91.04 : 0:0:0 , 0:91.04 , 0:-2.86 , 0:-8.20 , 1:19.43 , 1:5.53 , 1:0.31 , 2:-9.64 , 2:-0.56 , 2:-0.56 ,
44.28 , 3d:8.19:2.86:-91.10 : 0:0:0 , 0:91.10 , 0:-2.86 , 0:-8.19 , 1:20.30 , 1:5.31 , 1:0.89 , 2:-9.79 , 2:-0.53 , 2:-0.53 ,
44.29 , 3d:8.15:2.87:-91.27 : 0:0:0 , 0:91.27 , 0:-2.87 , 0:-8.15 , 1:21.96 , 1:4.45 , 1:1.82 , 2:-9.88 , 2:-0.60 , 2:-0.60 ,
44.29 , 3d:8.14:2.88:-91.34 : 0:0:0 , 0:91.34 , 0:-2.88 , 0:-8.14 , 1:22.21 , 1:3.86 , 1:2.32 , 2:-9.89 , 2:-0.55 , 2:-0.55 ,
44.29 , 3d:8.12:2.89:-91.41 : 0:0:0 , 0:91.41 , 0:-2.89 , 0:-8.12 , 1:21.95 , 1:3.61 , 1:2.63 , 2:-9.89 , 2:-0.48 , 2:-0.48 ,
44.30 , 3d:8.12:2.90:-91.48 : 0:0:0 , 0:91.48 , 0:-2.90 , 0:-8.12 , 1:22.04 , 1:2.85 , 1:3.28 , 2:-9.86 , 2:-0.45 , 2:-0.45 ,
44.30 , 3d:8.11:2.92:-91.58 : 0:0:0 , 0:91.58 , 0:-2.92 , 0:-8.11 , 1:21.49 , 1:1.67 , 1:6.70 , 2:-9.22 , 2:-0.45 , 2:-0.45 ,
44.31 , 3d:8.11:3.01:-91.80 : 0:0:0 , 0:91.80 , 0:-3.01 , 0:-8.11 , 1:23.73 , 1:-1.11 , 1:10.70 , 2:-9.47 , 2:0.03 , 2:0.03 ,
44.33 , 3d:8.12:3.20:-92.27 : 0:0:0 , 0:92.27 , 0:-3.20 , 0:-8.12 , 1:15.81 , 1:3.96 , 1:3.82 , 2:-10.47 , 2:-0.51 , 2:-0.51 ,
44.34 , 3d:8.05:3.22:-92.36 : 0:0:0 , 0:92.36 , 0:-3.22 , 0:-8.05 , 1:4.53 , 1:7.55 , 1:0.09 , 2:-10.10 , 2:-0.29 , 2:-0.29 ,
44.35 , 3d:8.01:3.22:-92.38 : 0:0:0 , 0:92.38 , 0:-3.22 , 0:-8.01 , 1:4.16 , 1:5.92 , 1:0.09 , 2:-9.97 , 2:-0.17 , 2:-0.17 ,
44.37 , 3d:7.98:3.23:-92.57 : 0:0:0 , 0:92.57 , 0:-3.23 , 0:-7.98 , 1:6.80 , 1:0.86 , 1:0.23 , 2:-9.70 , 2:-0.14 , 2:-0.14 ,
44.38 , 3d:7.97:3.23:-92.60 : 0:0:0 , 0:92.60 , 0:-3.23 , 0:-7.97 , 1:6.77 , 1:1.95 , 1:0.20 , 2:-9.64 , 2:-0.19 , 2:-0.19 ,
44.39 , 3d:7.93:3.24:-92.73 : 0:0:0 , 0:92.73 , 0:-3.24 , 0:-7.93 , 1:10.68 , 1:2.80 , 1:1.30 , 2:-9.54 , 2:-0.32 , 2:-0.32 ,
44.40 , 3d:7.91:3.25:-92.81 : 0:0:0 , 0:92.81 , 0:-3.25 , 0:-7.91 , 1:12.47 , 1:1.20 , 1:1.80 , 2:-9.68 , 2:-0.25 , 2:-0.25 ,
